,model,hit@k,file,time
24,Embible/distilBert-10-epochs,0.036338760587687646,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_10_percent.json,0.712260361512502
25,Embible/distilBert-20-epochs,0.06229761337057472,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_10_percent.json,0.7364600936571757
26,Embible/distilBert-50-epochs,0.0649118922724073,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_10_percent.json,0.7595919450124105
27,Embible/AlephBertGimmel-10-epochs,0.16886665698307785,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_10_percent.json,0.9605636397997538
28,Embible/AlephBertGimmel-20-epochs,0.1704771588350642,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_10_percent.json,0.9589338739713033
29,Embible/AlephBertGimmel-50-epochs,0.16958747911976169,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_10_percent.json,1.0119446396827698
30,Embible/mBert-10-epochs,0.06003401360544218,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_10_percent.json,1.0456128676732381
31,Embible/mBert-20-epochs,0.05684750768634855,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_10_percent.json,1.0312598069508871
32,Embible/mBert-50-epochs,0.05911467789962959,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_10_percent.json,1.0341206749280294
33,Embible/distilBert-10-epochs,0.03500254194204373,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_10_percent.json,0.8087035218874613
34,Embible/distilBert-20-epochs,0.06359091679376375,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_10_percent.json,0.7547033031781515
35,Embible/distilBert-50-epochs,0.0643692352385794,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_10_percent.json,0.7489012281099955
36,Embible/AlephBertGimmel-10-epochs,0.11572744899229763,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_15_percent.json,0.9897431651751201
37,Embible/AlephBertGimmel-20-epochs,0.1218510414999021,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_15_percent.json,1.3153564214706421
38,Embible/AlephBertGimmel-50-epochs,0.12514586335094363,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_15_percent.json,1.1841535647710164
39,Embible/mBert-10-epochs,0.04562736064417051,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_15_percent.json,1.0454683184623719
40,Embible/mBert-20-epochs,0.04368310890537262,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_15_percent.json,1.4877038955688477
41,Embible/mBert-50-epochs,0.04423721175682325,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_15_percent.json,1.098543119430542
42,Embible/distilBert-10-epochs,0.026498212284540267,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_15_percent.json,0.8578609188397726
43,Embible/distilBert-20-epochs,0.04596044494251442,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_15_percent.json,0.8813894669214885
44,Embible/distilBert-50-epochs,0.04802061653948094,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_15_percent.json,0.878881577650706
45,Embible/AlephBertGimmel-10-epochs,0.12719861140332417,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_15_percent.json,1.0023326754570008
46,Embible/AlephBertGimmel-20-epochs,0.13070399981298353,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_15_percent.json,1.0503270785013834
47,Embible/AlephBertGimmel-50-epochs,0.13486920541412428,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_15_percent.json,1.0708680073420207
48,Embible/mBert-10-epochs,0.042702123804848384,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_15_percent.json,1.1007608731587728
49,Embible/mBert-20-epochs,0.03930806858826005,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_15_percent.json,1.0864200472831727
50,Embible/mBert-50-epochs,0.04063486219229959,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_15_percent.json,1.0924225012461344
51,Embible/distilBert-10-epochs,0.024678273371204158,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_15_percent.json,0.8570119222005208
52,Embible/distilBert-20-epochs,0.044848867382004345,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_15_percent.json,0.8681286215782166
53,Embible/distilBert-50-epochs,0.044745423942773,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_15_percent.json,0.8639883756637573
