,model,hit@k,file,time
0,Embible/AlephBertGimmel-10-epochs,0.3955444265926513,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_5_percent.json,0.82098841269811
1,Embible/AlephBertGimmel-20-epochs,0.40193828975785667,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_5_percent.json,1.4859936396280924
2,Embible/AlephBertGimmel-50-epochs,0.3901874860281298,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_5_percent.json,1.179137126604716
3,Embible/mBert-10-epochs,0.22710074293979074,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_5_percent.json,1.4306526144345602
4,Embible/mBert-20-epochs,0.21657510994418805,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_5_percent.json,1.3883232514063517
5,Embible/mBert-50-epochs,0.22435222305134012,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_5_percent.json,1.4408083081245422
6,Embible/distilBert-10-epochs,0.1687034193249352,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_5_percent.json,1.0754979173342387
7,Embible/distilBert-20-epochs,0.22568201785510586,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_5_percent.json,1.080908187230428
8,Embible/distilBert-50-epochs,0.2257823853393443,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_5_percent.json,1.0628513018290202
9,Embible/AlephBertGimmel-10-epochs,0.3662696165272795,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_5_percent.json,1.3972320954004924
10,Embible/AlephBertGimmel-20-epochs,0.3797523828461481,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_5_percent.json,1.1625545422236125
11,Embible/AlephBertGimmel-50-epochs,0.3816301612696409,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_5_percent.json,1.1076468547185263
