,model,hit@k,file,time
11,Embible/AlephBertGimmel-50-epochs,0.19527219449315755,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_5_percent.json,0.9084910313288371
12,Embible/mBert-10-epochs,0.06860773525079478,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_5_percent.json,0.9973085006078084
13,Embible/mBert-20-epochs,0.06237390769968676,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_5_percent.json,1.0221171935399374
14,Embible/mBert-50-epochs,0.06803925536220155,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_5_percent.json,0.9928882598876954
15,Embible/distilBert-10-epochs,0.029397679751787392,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_5_percent.json,0.7632012764612833
16,Embible/distilBert-20-epochs,0.07653371704363206,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_5_percent.json,0.7667798082033793
17,Embible/distilBert-50-epochs,0.08038693286568639,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_5_percent.json,0.7710805217425029
18,Embible/AlephBertGimmel-10-epochs,0.13752866907373323,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_10_percent.json,1.05875053803126
19,Embible/AlephBertGimmel-20-epochs,0.13636941662692723,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_10_percent.json,1.0673479636510212
20,Embible/AlephBertGimmel-50-epochs,0.13227721385804353,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_10_percent.json,1.0437032024065653
21,Embible/mBert-10-epochs,0.05417073521508429,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_10_percent.json,1.109554692109426
22,Embible/mBert-20-epochs,0.054382867437230815,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_10_percent.json,1.0953332265218099
23,Embible/mBert-50-epochs,0.05756030913398581,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_10_percent.json,1.091315996646881
24,Embible/distilBert-10-epochs,0.03561209891681996,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_10_percent.json,0.8619852582613627
25,Embible/distilBert-20-epochs,0.05388555835623077,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_10_percent.json,0.8614930510520935
26,Embible/distilBert-50-epochs,0.05331861086510588,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_10_percent.json,0.8538709044456482
27,Embible/AlephBertGimmel-10-epochs,0.15141219002428954,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_10_percent.json,1.0448950052261352
28,Embible/AlephBertGimmel-20-epochs,0.14962738357501953,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_10_percent.json,1.0451338489850361
29,Embible/AlephBertGimmel-50-epochs,0.14562523704618258,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_10_percent.json,1.0373565514882406
30,Embible/mBert-10-epochs,0.05217921094891102,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_10_percent.json,1.1040503144264222
31,Embible/mBert-20-epochs,0.047346898427223796,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_10_percent.json,1.1177863478660583
32,Embible/mBert-50-epochs,0.05003167340483053,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_10_percent.json,1.1054994901021322
33,Embible/distilBert-10-epochs,0.03395974047982186,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_10_percent.json,0.8813791314760844
34,Embible/distilBert-20-epochs,0.055031027832248,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_10_percent.json,0.8644004821777344
35,Embible/distilBert-50-epochs,0.05648477659153816,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_10_percent.json,0.8660519599914551
36,Embible/AlephBertGimmel-10-epochs,0.1086281729725883,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_15_percent.json,1.0995608886082968
37,Embible/AlephBertGimmel-20-epochs,0.11498716283923599,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_15_percent.json,1.0702998956044516
38,Embible/AlephBertGimmel-50-epochs,0.11217306745883504,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_15_percent.json,1.1242015480995178
39,Embible/mBert-10-epochs,0.042582759663447003,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_15_percent.json,1.195192289352417
40,Embible/mBert-20-epochs,0.04150153275106584,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_15_percent.json,1.5838346878687541
41,Embible/mBert-50-epochs,0.042999300330267845,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_15_percent.json,1.737718133131663
42,Embible/distilBert-10-epochs,0.035207173393576124,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_15_percent.json,1.3528762221336366
43,Embible/distilBert-20-epochs,0.04326256589050763,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_15_percent.json,1.334758468468984
44,Embible/distilBert-50-epochs,0.04049664692174966,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_15_percent.json,1.323192342122396
45,Embible/AlephBertGimmel-10-epochs,0.10991347569955809,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_15_percent.json,1.5849769552548727
46,Embible/AlephBertGimmel-20-epochs,0.11394104892816227,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_15_percent.json,1.6184110482533773
47,Embible/AlephBertGimmel-50-epochs,0.11596623185356623,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_15_percent.json,1.5701671799023946
48,Embible/mBert-10-epochs,0.03378304930219514,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_15_percent.json,1.474293796221415
49,Embible/mBert-20-epochs,0.03339294480678869,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_15_percent.json,2.0181304574012757
50,Embible/mBert-50-epochs,0.03449327325431893,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_15_percent.json,2.0642253875732424
51,Embible/distilBert-10-epochs,0.029110707857026,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_15_percent.json,1.587164294719696
